time_period,la_name,overall
201516,Knowsley,85
201516,Sefton,94.3
201516,Wirral,94.6
201516,Halton,95
201516,Liverpool,92.5
201516,St. Helens,93.3
201718,Knowsley,86.8
201617,Sefton,92.2
201617,Halton,92.9
201617,Knowsley,85.6
201617,Wirral,94.4
201617,St. Helens,94
201617,Liverpool,92.4
201718,Wirral,94.8
201718,Liverpool,92.5
201718,St. Helens,93.3
201718,Halton,94.7
201718,Sefton,92
201819,Liverpool,92
201819,Wirral,94.8
201819,Halton,93.4
201819,St. Helens,92
201819,Knowsley,86.8
201819,Sefton,93.2
201920,Wirral,94.1
201920,St. Helens,92.6
201920,Sefton,93.2
201920,Knowsley,86
201920,Liverpool,91.4
201920,Halton,93.8
202021,Halton,94.3
202021,Sefton,92.4
202021,Knowsley,86.2
202021,Liverpool,92.4
202021,St. Helens,92.5
202021,Wirral,94
202122,Liverpool,91.6
202122,Halton,95.2
202122,Sefton,93.2
202122,Wirral,93.9
202122,St. Helens,91.2
202122,Knowsley,86.4
201213,Knowsley,79.9
201213,St. Helens,90.7
201314,Liverpool,90.7
201314,St. Helens,91
201314,Wirral,92.4
201415,Halton,93.6
201415,Knowsley,88.2
201415,Liverpool,92.8
201415,St. Helens,93.5
201415,Wirral,94.3
201112,Liverpool,87.4
201112,Wirral,90.2
201213,Halton,90.1
201213,Sefton,91
201112,St. Helens,89
201314,Halton,91.2
201112,Knowsley,84
201415,Sefton,93.3
201213,Liverpool,89.5
201213,Wirral,92.6
201314,Sefton,92.7
201112,Sefton,91.2
201314,Knowsley,85.5
201112,Halton,88.9
